Name1	Gal.long	Gal.lat	R.sol	R.GC	Metal	Mv	r.core	r.tidal	Conc	log.t	log.rho	S0	V.esc	VHB	E.B-V	Vt	CSBt
NGC_6273	356.869	9.381	10.6	2.5	-2.40	-9.62	1.6	53.8	1.49	8.75	4.04	12.36	48.5	16.95	0.38	6.73	7.95
NGC_6284	358.347	9.939	10.3	2.2	-1.34	-7.10	0.5	29.8	1.77	7.51	4.36	5.64	23.1	16.55	0.28	8.85	8.07
NGC_6287	0.132	11.023	7.2	2.2	-1.72	-6.61	0.7	20.0	1.53	7.73	3.86	4.49	17.8	16.52	0.51	9.31	9.69
NGC_6293	357.620	7.834	7.7	1.6	-1.85	-7.39	0.4	32.9	1.95	7.33	4.70	6.33	26.7	16.14	0.35	8.15	7.75
TJ_5     	357.261	7.283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65	NA	NA
NGC_6304	355.825	5.374	6.0	2.9	-0.54	-7.19	0.5	29.1	1.75	7.50	4.49	6.15	25.2	16.15	0.52	8.36	8.59
NGC_6316	357.175	5.765	12.8	4.2	-0.62	-8.45	0.7	53.8	1.98	7.85	4.37	7.58	32.2	17.80	0.52	8.75	8.51
NGC_6325	0.973	8.003	6.2	2.8	-2.02	-6.14	0.4	17.9	1.53	7.36	4.26	4.53	17.9	17.30	0.86	10.56	10.30
TJ_16    	357.713	5.636	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65	16.30	11.70
TJ_15    	358.939	6.468	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65	NA	NA
TJ_17      	357.688	5.564	NA	NA	-0.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.65	16.58	12.56
NGC_6341	68.339	34.858	7.7	9.8	-1.89	-8.11	0.7	37.2	1.65	7.94	4.38	8.22	33.1	15.10	0.02	6.39	6.81
NGC_6333	5.544	10.705	7.5	2.2	-1.77	-7.88	0.9	33.7	1.42	8.14	4.09	7.59	29.5	16.09	0.35	7.61	8.33
NGC_6342	4.899	9.725	11.6	3.4	-0.75	-6.96	0.5	29.5	2.00	7.37	4.24	4.53	19.3	17.40	0.46	9.84	9.03
NGC_6356	6.723	10.220	16.7	8.3	-1.17	-8.89	1.4	55.7	1.51	8.57	3.84	9.02	35.6	17.67	0.30	8.18	8.29
NGC_6355	359.585	5.428	7.1	1.8	-1.34	-6.92	0.4	15.7	1.94	7.30	4.43	4.98	21.0	17.20	0.73	9.68	9.56
NGC_6352	341.421	-7.164	6.6	3.4	-0.07	-6.42	1.3	23.1	1.44	8.13	3.02	3.19	12.4	15.15	0.14	8.13	9.93
Ter_2   	356.320	2.298	10.0	1.4	-0.54	-4.91	0.3	9.0	NA	6.97	4.26	3.20	12.5	19.80	1.31	14.29	12.12
NGC_6366	18.411	16.041	4.0	5.4	-0.71	-6.22	2.6	23.3	0.94	8.68	2.40	2.89	10.3	15.70	0.65	8.88	12.47
NGC_6362	325.555	-17.569	7.7	5.5	-0.71	-7.18	3.6	37.4	0.83	9.09	2.45	4.13	14.4	15.30	0.08	7.52	10.20
Ter_4   	356.024	1.308	16.1	7.4	-0.29	-5.00	0.5	7.8	NA	7.31	3.92	3.18	11.9	21.60	1.55	16.00	13.34
HP_1    	357.423	2.113	9.5	0.9	-1.68	-6.91	0.6	12.9	NA	7.70	4.33	6.35	24.4	20.00	1.41	12.49	11.62
Gri_1   	354.304	-0.151	11.8	3.2	NA	-7.94	1.8	29.9	1.21	8.66	3.31	6.23	23.4	26.20	3.20	17.66	18.64
Lil_1   	354.841	-0.161	7.9	1.2	-0.29	-7.96	0.1	7.6	2.06	6.73	6.14	12.23	52.6	24.40	2.91	15.84	13.42
NGC_6380	350.182	-3.414	4.0	5.0	-1.30	-6.28	0.4	6.5	1.21	7.40	4.65	6.27	23.5	18.00	1.38	11.12	11.14
Ter_1   	357.558	0.992	10.6	1.9	0.10	-4.10	0.3	12.0	NA	6.80	3.89	2.04	8.1	20.60	1.52	15.90	13.74
NGC_6388	345.557	-6.738	13.5	5.6	-0.62	-9.91	0.6	32.6	1.75	8.09	5.27	19.13	78.2	17.24	0.31	6.73	5.71
Ton_2   	350.797	-3.419	8.7	1.5	NA	-5.36	1.8	12.9	NA	8.35	2.58	2.45	8.6	18.20	0.91	12.24	13.27
NGC_6402	21.322	14.803	10.2	4.5	-2.19	-9.33	2.4	29.7	1.30	9.03	3.50	9.91	37.8	17.50	0.58	7.57	9.52
NGC_6401	3.451	3.978	7.1	1.8	-1.01	-7.25	0.5	27.4	1.93	7.49	4.30	5.27	22.2	17.30	0.76	9.45	9.76
NGC_6397	338.165	-11.959	2.2	6.9	-2.02	-6.55	0.5	24.7	1.63	7.48	4.20	4.79	19.2	12.90	0.18	5.75	8.14
Pal_6   	2.092	1.779	5.9	2.9	0.22	-6.95	1.2	12.8	NA	8.25	3.64	5.56	20.3	19.10	1.45	11.55	12.77
TJ_23   	356.676	-1.916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.73	NA	NA
NGC_6426	28.088	16.233	17.5	NA	-1.94	-6.27	1.8	37.8	1.59	8.29	2.44	2.27	9.1	18.00	0.37	11.13	11.76
Ter_5   	3.838	1.687	7.1	1.8	-0.71	-7.25	0.1	8.4	NA	6.45	6.38	11.76	49.4	21.70	2.14	13.85	10.70
NGC_6440	7.729	3.800	7.1	2.1	-0.54	-8.75	0.2	24.7	2.08	7.21	5.71	13.01	56.2	18.40	1.11	9.05	8.13
NGC_6441	353.532	-5.006	11.7	3.3	-0.07	-9.31	0.5	25.9	1.89	7.81	5.20	14.41	60.2	17.10	0.36	7.19	6.26
NGC_6453	355.717	-3.873	10.7	2.1	-1.51	-7.32	0.5	15.6	1.61	7.62	4.50	6.88	27.6	17.70	0.61	9.78	8.74
Ter_6   	358.572	-2.163	12.8	4.0	NA	-6.35	0.3	5.6	NA	7.23	4.98	7.11	26.9	20.80	1.46	13.85	10.85
UKS_1   	5.125	0.764	10.4	1.8	-1.22	-7.61	0.7	17.7	NA	7.88	4.39	7.79	30.3	25.50	3.07	17.29	16.63
NGC_6496	348.026	-10.012	6.3	3.2	-0.71	-5.82	3.2	18.2	0.72	8.85	2.16	2.52	8.6	14.90	0.10	8.48	11.18
Ter_9   	3.603	-1.988	7.0	1.9	-0.45	-3.70	0.3	5.5	NA	6.68	4.14	2.21	8.5	20.30	1.71	16.00	13.96
NGC_6517	19.225	6.762	6.1	3.8	-1.47	-7.10	0.2	18.5	2.06	6.78	5.42	7.10	30.6	18.00	1.09	10.30	9.09
Ter_10  	4.421	-1.864	14.6	5.9	NA	-6.40	0.5	6.4	NA	7.57	4.49	6.33	23.4	21.90	1.71	14.90	12.39
NGC_6522	1.026	-3.929	6.6	2.3	-1.56	-7.30	0.3	19.1	1.69	7.33	4.97	7.88	31.9	16.25	0.49	8.35	7.63
NGC_6535	27.176	10.435	6.9	4.3	-1.56	-4.77	0.4	20.1	1.84	7.02	3.63	2.01	8.3	15.85	0.33	10.48	10.27
NGC_6528	1.138	-4.175	6.8	2.1	-0.96	-6.64	0.3	9.3	1.81	7.01	4.98	6.08	25.1	16.75	0.62	9.51	8.30
NGC_6539	20.795	6.775	3.1	6.0	-1.05	-6.23	0.5	12.0	1.53	7.43	4.19	4.52	17.9	16.60	1.10	9.77	11.16
NGC_6544	5.837	-2.201	2.6	6.2	-2.15	-6.33	0.4	8.8	1.44	7.27	4.69	5.89	22.9	15.00	0.73	8.07	9.07
NGC_6541	349.286	-11.189	7.0	2.8	-2.02	-8.52	0.6	64.1	1.97	7.79	4.57	8.45	35.8	15.20	0.12	6.08	6.86
NGC_6553	5.253	-3.029	5.7	3.2	-0.41	-8.29	1.1	17.4	1.04	8.45	4.22	10.52	38.3	16.95	0.80	8.06	9.27
NGC_6558	0.200	-6.024	8.8	0.9	-1.51	-6.28	0.4	16.2	1.68	7.28	4.36	4.57	18.5	16.70	0.43	9.82	8.79
IC_1276 	21.832	5.666	9.8	3.8	-0.84	-7.56	3.6	35.9	NA	9.09	2.45	4.34	15.7	18.50	0.92	10.34	12.83
Ter_11  	8.357	-2.100	23.7	15.1	NA	-5.50	1.4	13.8	NA	8.12	2.89	2.72	9.8	22.50	1.57	16.40	14.86
NGC_6569	0.481	-6.681	8.9	1.0	-1.01	-7.79	0.9	18.3	1.46	8.10	4.04	7.13	27.9	17.10	0.55	8.71	9.09
Kod_1   	18.072	2.415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.80	20.10	NA
NGC_6584	342.144	-16.413	15.0	7.8	-1.56	-7.57	1.7	38.0	1.34	8.53	3.16	5.00	19.2	16.80	0.10	8.63	9.14
NGC_6624	2.788	-7.913	8.0	1.5	-0.84	-7.46	0.2	26.8	2.15	6.88	5.32	7.19	31.5	16.05	0.29	7.99	6.63
NGC_6626	7.799	-5.580	5.8	3.2	-1.81	-8.17	0.6	25.5	1.37	7.97	4.68	10.60	40.9	15.60	0.37	6.83	7.29
NGC_6638	7.897	-7.153	6.7	2.5	-0.92	-6.27	0.5	11.5	1.29	7.47	4.41	5.52	21.0	15.92	0.37	9.05	8.34
NGC_6637	1.722	-10.269	10.3	2.3	-0.92	-8.04	1.0	31.3	1.52	8.19	3.98	7.31	28.9	16.20	0.17	7.56	7.93
NGC_6642	9.814	-6.439	5.5	3.6	-1.30	-5.54	0.1	12.8	2.15	6.25	5.24	3.86	16.9	15.50	0.37	9.36	7.66
NGC_6652	1.535	-11.377	14.3	6.0	-0.92	-7.34	0.6	32.3	1.70	7.74	4.17	5.86	23.7	16.70	0.10	8.76	7.70
NGC_6656	9.890	-7.552	3.1	5.8	-1.81	-8.53	1.1	30.2	1.59	8.32	3.99	8.27	33.0	14.20	0.35	5.07	8.35
Pal_8   	14.103	-6.797	28.1	19.8	-0.50	-7.15	3.3	17.3	0.80	9.04	2.59	4.34	15.1	18.90	0.33	11.15	10.78
NGC_6681	2.853	-12.510	9.3	2.1	-0.92	-7.05	0.3	29.6	2.19	6.94	4.83	5.08	22.4	15.60	0.05	7.95	6.85
NGC_6712	25.353	-4.318	6.2	4.2	-1.26	-7.34	1.2	19.9	1.16	8.31	3.64	6.00	22.3	16.11	0.48	8.17	9.57
NGC_6715	5.607	-14.088	21.5	13.2	-1.85	-9.54	0.7	46.4	1.86	8.07	4.88	13.85	57.6	17.71	0.14	7.57	6.00
NGC_6717	12.876	-10.901	7.8	2.6	-2.19	-5.92	0.1	18.0	2.28	6.31	5.13	3.72	16.8	15.70	0.20	9.18	7.29
NGC_6723	0.072	-17.298	9.2	2.7	-1.09	-7.71	2.2	33.6	1.05	8.79	3.09	5.69	20.7	15.48	0.02	7.17	8.85
NGC_6749	36.201	-2.204	12.8	7.7	-0.37	-6.16	1.8	10.0	0.73	8.51	3.06	3.94	13.5	19.20	0.96	12.44	12.32
NGC_6752	336.495	-25.628	4.1	5.9	-1.64	-7.72	0.6	36.5	1.59	7.79	4.48	7.79	31.1	13.80	0.05	5.48	6.85
NGC_6760	36.108	-3.924	4.1	6.0	-0.84	-6.82	0.5	14.5	1.51	7.59	4.32	5.77	22.7	16.50	0.88	9.08	10.03
Ter_7   	3.387	-20.063	36.4	28.4	NA	-6.00	3.9	36.8	NA	8.90	1.75	2.06	7.4	18.60	0.06	12.00	11.76
NGC_6779	62.659	8.336	9.8	9.8	-2.32	-7.34	1.3	34.3	1.59	8.21	3.35	4.50	18.0	16.20	0.20	8.26	9.33
Pal_10  	52.437	2.726	10.6	8.7	NA	-5.58	1.0	17.3	NA	7.88	3.16	2.81	10.6	19.40	1.15	13.22	13.14
Arp_2   	8.543	-20.787	28.3	20.4	-1.85	-5.31	16.4	46.3	NA	10.00	0.27	1.13	3.7	18.21	0.11	12.30	14.46
NGC_6809	8.798	-23.272	5.1	4.7	-1.56	-7.44	2.6	27.7	1.27	8.78	2.64	4.03	15.3	14.40	0.08	6.36	9.97
Ter_8   	5.758	-24.558	48.2	40.4	NA	-6.40	10.9	122.2	NA	9.61	0.50	1.41	5.1	19.40	0.12	12.40	13.93
Pal_11  	31.806	-15.577	13.8	8.3	-0.92	-6.98	5.3	29.7	0.75	9.34	1.95	3.29	11.3	17.38	0.34	9.80	11.92
NGC_6838	56.742	-4.562	4.4	7.4	-0.45	-5.82	1.1	17.6	1.13	7.99	3.24	3.27	12.1	14.42	0.10	8.00	9.80
NGC_6864	20.304	-25.748	18.5	12.0	-1.68	-8.32	0.5	32.5	1.82	7.73	4.74	9.24	38.2	17.45	0.16	8.53	6.68
NGC_6934	52.105	-18.894	14.9	12.1	-1.30	-7.50	0.9	38.7	1.70	7.99	3.79	5.32	21.6	16.82	0.11	8.72	8.31
NGC_6981	35.163	-32.683	17.0	12.7	-1.56	-6.93	1.8	43.1	1.53	8.40	2.74	3.22	12.7	16.85	0.03	9.32	9.91
NGC_7006	63.769	-19.407	39.1	36.3	-1.72	-7.66	2.0	71.7	1.49	8.60	2.91	4.37	17.2	18.72	0.05	10.46	9.44
NGC_7078	65.013	-27.313	9.7	10.4	-2.06	-9.24	0.3	59.1	2.54	7.13	5.26	8.55	40.9	15.86	0.10	6.02	5.90
NGC_7089	53.371	-35.770	11.9	10.9	-1.81	-9.09	1.2	56.4	1.77	8.41	4.00	9.04	37.1	16.05	0.02	6.36	7.18
NGC_7099	27.179	-46.835	7.2	7.2	-2.19	-7.17	0.2	33.4	2.40	6.55	5.26	5.15	23.8	15.09	0.06	7.32	6.33
Pal_12  	30.510	-47.680	19.4	16.0	-1.13	-4.79	2.7	60.4	1.50	8.35	1.38	1.00	4.0	17.10	0.02	11.71	12.85
Pal_13  	87.104	-42.699	24.4	25.7	-0.96	-3.30	2.7	27.0	0.90	8.29	1.20	0.75	2.7	17.70	0.05	13.80	13.52
NGC_7492	53.392	-63.479	19.1	18.7	-1.81	-4.97	4.5	42.0	1.06	8.82	1.07	1.12	4.1	17.00	0.00	11.43	13.08
